Goal	Drop	Early	Corridos
13754	0	246	13999
Wall Time[s]	2265.821357011795
State	Action	Q-value
0	0	-76.923200
0	1	-43270.242205
0	2	-344.788469
0	3	-76.557636
1	0	-43268.978548
1	1	0.000000
1	2	-43286.963383
1	3	-43268.538425
2	0	0.000000
2	1	0.000000
2	2	0.000000
2	3	0.000000
3	0	-118.033779
3	1	-9.611874
3	2	-1257.229102
3	3	0.000000
4	0	-43269.142936
4	1	-9.600019
4	2	-5283.279729
4	3	-9.800120
5	0	-13105.786973
5	1	-9.947856
5	2	-23069.926345
5	3	-9.211500
6	0	-76.786774
6	1	-15.057874
6	2	-8836.639257
6	3	-9.346422
7	0	-43274.215924
7	1	-43286.108280
7	2	-43290.658405
7	3	-7.872168
8	0	0.000000
8	1	-499.832427
8	2	-9.000000
8	3	-43279.730530
9	0	-286.352044
9	1	-2352.745586
9	2	-996.437489
9	3	-533.693158
10	0	-2390.303372
10	1	-5118.956941
10	2	-1893.648190
10	3	-1235.553911
11	0	-18748.935504
11	1	-43238.176447
11	2	-1762.498674
11	3	-1845.017502
12	0	-77.069929
12	1	-43292.743163
12	2	-43291.252182
12	3	-13939.930317
13	0	-43292.659743
13	1	-1347.179696
13	2	-2079.167202
13	3	-43291.933543
14	0	-8.000000
14	1	-1002.528192
14	2	-10.000000
14	3	-43292.048763
15	0	-621.660979
15	1	-1928.792880
15	2	-2227.409793
15	3	-1911.034292
16	0	-2003.089614
16	1	-5214.235592
16	2	-2091.405522
16	3	-1993.610525
17	0	-3235.146697
17	1	-34212.396978
17	2	-1904.562036
17	3	-1960.805294
18	0	-43291.900474
18	1	-2065.620300
18	2	-33630.775145
18	3	-34630.782158
19	0	-2054.373080
19	1	-1933.885023
19	2	-2102.973063
19	3	-9212.430552
20	0	-9.000000
20	1	-2251.836684
20	2	-11.000000
20	3	-2701.879010
21	0	-2255.369679
21	1	-2247.578554
21	2	-2290.006433
21	3	-2240.092620
22	0	-1913.542669
22	1	-2213.450222
22	2	-2138.489212
22	3	-2246.251180
23	0	-2051.752200
23	1	-12237.211388
23	2	-2077.922051
23	3	-2041.715244
24	0	-34916.717773
24	1	-33626.303864
24	2	-2083.499616
24	3	-1781.493397
25	0	-2084.614070
25	1	-2039.617630
25	2	-21169.682609
25	3	-33625.266586
26	0	-10.000000
26	1	-2090.277885
26	2	-12.000000
26	3	-2093.198438
27	0	-2192.939295
27	1	-2032.179717
27	2	-20979.147269
27	3	-2034.833478
28	0	-2174.186352
28	1	-2117.791302
28	2	-21004.578171
28	3	-1939.784810
29	0	-1820.278995
29	1	-4414.073196
29	2	-2675.451016
29	3	-2135.188936
30	0	-4354.052725
30	1	-21170.034738
30	2	-21162.453803
30	3	-2044.172724
31	0	-21176.634164
31	1	-21162.361303
31	2	-16750.859945
31	3	-21162.318065
32	0	-11.000000
32	1	-21015.655108
32	2	-21162.317015
32	3	-21182.784712
33	0	-20995.458228
33	1	-20999.681258
33	2	-16750.826408
33	3	-21162.441742
34	0	-2134.423523
34	1	-2949.515418
34	2	-21107.359293
34	3	-21009.011268
35	0	-1752.728598
35	1	-21162.628544
35	2	-21162.525938
35	3	-2054.890614
36	0	-21162.994392
36	1	-16750.918125
36	2	-16750.654319
36	3	-21162.700214
Return	TimeSteps
-450	367
-197	215
-827	698
-569	593
-239	263
-79	78
-426	421
-659	683
-90	107
-54	78
-955	979
-1001	1001
-1001	1001
-542	566
-584	608
-1001	1001
-1001	1001
-580	604
-100	117
-39	63
-1001	1001
-1001	1001
-1001	1001
-799	823
-1001	1001
-846	870
-393	410
-266	290
-846	870
-1001	1001
-9	9
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-39	50
-916	940
-723	747
-805	829
10	13
-1001	1001
-261	285
-174	198
-1001	1001
-8	8
-481	503
-930	947
-757	775
-572	583
-77	101
-1001	1001
-173	196
-494	518
-70	86
-698	722
-1001	1001
-542	566
-275	299
-115	139
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-71	71
-520	543
-613	624
-135	153
-629	647
-376	394
-715	726
-1001	1001
-125	143
-1001	1001
-1001	1001
-1001	1001
-783	801
-1001	1001
-418	429
-30	24
-822	846
-456	473
-660	684
-488	512
-39	63
-500	524
-107	131
-1001	1001
-183	207
-570	594
-629	653
-275	299
-895	912
-804	828
-1001	1001
-333	357
-673	697
-582	599
-352	376
-100	124
-84	101
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-347	371
-1001	1001
-1001	1001
-53	70
-320	337
-1001	1001
-137	154
-754	771
-891	915
-1001	1001
-101	101
-1001	1001
-683	694
-11	11
-700	724
-434	458
-372	389
-1001	1001
-1001	1001
-1001	1001
-732	756
-1001	1001
-206	230
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-716	740
-296	307
-1001	1001
-1001	1001
-1001	1001
-1001	1001
-221	245
-158	168
-1001	1001
-1001	1001
-153	170
-1001	1001
-19	19
-396	415
-1001	1001
-1001	1001
-369	393
-707	731
-1001	1001
-674	698
-1001	1001
-112	136
-920	944
-1001	1001
-1001	1001
-208	218
-510	534
-1001	1001
-65	65
-470	492
-37	48
-388	399
-36	47
-530	554
-934	952
-157	181
-1001	1001
-52	63
-243	261
-1001	1001
-158	152
-646	663
-174	198
-650	674
-129	153
-1001	1001
-539	563
-288	312
-22	46
-1001	1001
-1001	1001
-471	495
-297	321
-361	385
-12	12
-782	774
-71	58
-25	12
-21	8
-80	60
-70	81
-23	10
-16	10
-224	241
7	10
7	10
8	9
8	9
8	9
8	9
8	9
8	9
8	9
7	10
-1	11
14	10
8	9
6	11
7	10
8	9
7	10
-8	8
-406	402
-325	348
-162	156
-16	10
-14	8
-14	8
-14	8
-21	8
-14	8
-14	8
-14	8
-14	8
-21	8
-14	8
-14	8
-21	8
-14	8
-16	10
-16	10
-14	8
-21	8
-14	8
-21	8
-14	8
-37	10
-14	8
-14	8
-16	10
-21	8
-14	8
-14	8
-87	74
-173	167
-158	176
-89	69
-28	22
-53	36
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-21	8
-115	107
-27	14
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-18	12
-16	10
-18	12
-14	8
8	10
-14	8
-27	14
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-16	10
-14	8
-14	8
-14	8
-14	8
-16	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-43	37
-14	8
-14	8
-14	8
-14	8
-70	64
-14	8
-14	8
-16	10
-75	69
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-23	10
-14	8
-14	8
-18	12
-1	12
-14	8
-16	10
-14	8
-14	8
-14	8
-22	16
-14	8
-16	10
-14	8
-16	10
-14	8
-24	18
-14	8
-14	8
-14	8
-14	8
-14	8
-76	70
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-30	10
-16	10
-16	10
-14	8
-38	32
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-21	15
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-27	21
-35	22
-44	38
-41	59
-24	18
-18	12
-16	10
-16	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
8	10
-16	10
-56	36
-44	38
-19	13
-18	12
-14	8
-21	8
-21	8
-25	12
-20	14
-54	48
-27	14
-21	8
-25	12
-32	12
-55	42
-30	24
-18	12
-32	26
-58	52
-34	28
-14	8
-21	39
-16	10
-22	16
-14	8
-14	8
-36	36
-14	8
-14	8
-14	8
-16	10
-16	10
-14	8
-21	8
-14	8
-103	48
-18	12
-46	40
-66	60
-20	14
-18	36
-25	12
-21	8
-29	16
-14	8
-24	18
-16	10
-30	24
-48	42
-14	8
-24	18
-32	26
-66	60
-24	18
-26	20
-21	8
-96	83
-21	8
-14	8
-14	8
-48	35
-14	8
-21	8
-24	18
-60	54
-18	12
-32	26
-30	24
-77	64
-14	8
-14	8
-27	45
-21	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-20	38
-14	8
-14	8
-14	8
-60	54
8	10
-14	8
-14	8
-28	22
-14	8
-14	8
-20	14
-20	14
-32	12
-14	8
0	18
-60	71
-14	8
-16	10
-14	8
-23	10
-35	22
-14	8
-28	22
-14	8
-14	8
-21	8
-16	10
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
6	12
-14	8
-14	8
-18	12
-16	10
-16	10
-14	8
-30	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-22	16
-16	10
-22	16
-18	12
-117	111
-24	18
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-18	12
-14	8
-103	121
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
6	12
-14	8
-16	10
-14	8
-14	8
-14	8
-30	10
-14	8
-16	10
-87	67
-238	232
-534	507
-50	44
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-19	13
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-21	8
-14	8
-29	40
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-18	12
-14	8
-16	10
-14	8
-14	8
-30	10
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-16	10
-14	8
-16	10
-16	10
-16	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-11	11
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-18	12
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-23	10
-14	8
-91	85
-14	8
-14	8
-14	8
-14	8
6	12
-14	8
-15	15
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-16	10
0	18
-14	8
-14	8
-14	8
-25	12
-32	12
-37	31
-37	37
-596	618
-30	24
-28	22
-31	31
-14	8
-21	8
-14	8
-21	8
-14	8
-14	8
-21	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-21	8
-21	8
-21	8
-18	12
-84	78
-28	46
-13	31
-36	30
-66	60
-26	20
-57	75
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-72	66
-14	8
-14	8
-53	40
-18	12
-22	16
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
8	10
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
4	14
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-72	66
-170	164
-36	30
-95	82
-21	8
-32	12
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
8	10
-14	8
-44	38
-14	8
-14	8
-14	8
-22	16
-14	8
-23	10
-16	10
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-37	24
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
4	14
-14	8
-14	8
-14	8
-69	63
-14	8
-174	168
-20	14
-14	8
-28	22
-18	12
-14	8
-26	20
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-18	12
-16	10
-45	63
-14	8
-16	10
-14	8
-14	8
-30	10
-14	8
-18	12
-18	12
-34	28
-64	44
-14	8
-14	8
-30	24
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-50	68
-14	8
-14	8
-23	10
-18	12
-22	16
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
6	12
-16	10
-14	8
-16	10
-16	10
-28	22
-18	12
-16	10
-42	36
-16	10
-14	8
-28	22
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
6	12
-14	8
-14	8
-14	8
-14	8
-14	8
-27	38
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-16	10
-14	8
2	9
-14	8
-14	8
-16	10
-14	8
5	13
-14	8
-16	10
-14	8
-34	14
-14	8
-14	8
-14	8
-14	8
-14	8
-26	20
-14	8
-14	8
-32	26
-20	14
-14	8
-14	8
-50	44
-14	8
-42	36
-16	10
-30	24
-14	8
-18	12
-14	8
-28	22
-38	32
-32	26
-47	34
-22	16
-76	70
-37	31
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
6	12
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-28	22
-14	8
-14	8
-14	8
-14	8
-14	8
-30	10
-14	8
-14	8
-54	48
-16	10
-16	10
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-20	14
-38	32
-30	24
-42	36
-16	10
-14	8
-14	8
-14	8
-23	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-20	14
-14	8
8	10
-33	20
-20	14
-52	46
-81	61
-14	8
-14	8
-23	10
-14	8
-16	10
-14	8
-14	8
-18	12
-14	8
-14	8
-14	8
-14	8
8	10
-16	10
-16	10
-14	8
-38	32
-16	10
-56	50
-16	10
-24	18
-35	22
-18	12
-14	8
-18	12
-20	14
-16	10
-28	22
-18	12
-14	8
-29	16
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-44	38
-14	8
-14	8
-35	22
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-21	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-18	12
-56	50
-14	8
-14	8
-44	38
-20	14
-14	8
-22	16
-14	8
-14	8
-24	18
-14	8
-14	8
-14	8
-14	8
-18	12
-14	8
-16	10
-14	8
-14	32
-14	8
-14	8
-18	12
-20	14
-30	24
-14	8
-14	8
-244	238
-41	28
-38	32
-84	78
-14	8
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-36	30
-14	8
-14	8
-14	8
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-21	8
-14	8
-14	8
-25	12
-21	8
-16	10
-16	10
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-12	11
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-10	10
-16	10
-74	74
-9	9
-10	10
-10	10
-8	8
-8	8
-8	8
-9	9
-10	10
-8	8
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-11	10
-11	10
-16	9
-9	9
-9	9
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-14	12
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-10	10
-11	10
-8	8
-17	10
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-8	8
-14	12
-8	8
-8	8
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-10	10
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-13	13
-16	9
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
12	12
-10	10
-9	9
-8	8
-8	8
14	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
-13	13
-19	19
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-8	8
-9	9
-8	8
-8	8
-10	10
-10	10
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-16	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-11	10
-8	8
-9	9
-10	10
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-12	12
-8	8
-11	10
-8	8
-8	8
-8	8
14	10
-8	8
-8	8
-8	8
-9	9
-16	14
-25	11
-10	10
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-12	12
-14	13
-10	10
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-10	10
-11	11
-8	8
-8	8
-10	10
14	10
-10	10
-10	10
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-13	12
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-12	12
-10	10
-8	8
-12	12
-8	8
-10	10
-9	9
-8	8
-8	8
-8	8
-11	10
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-9	9
-8	8
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-12	11
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-16	9
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-9	9
-9	9
-14	12
-8	8
-8	8
-8	8
-11	10
-8	8
-8	8
-9	9
-8	8
-10	10
-11	10
-10	10
-9	9
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-8	8
-9	9
-8	8
-9	9
-8	8
-9	9
-17	14
-8	8
-9	9
-11	10
-8	8
-8	8
-8	8
-8	8
-8	8
-13	12
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-16	9
-8	8
-8	8
-11	11
-9	9
-8	8
-8	8
-11	10
-8	8
-8	8
-8	8
-8	8
-9	9
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-10	10
-9	9
-8	8
-9	9
-8	8
-9	9
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-14	12
-10	10
-10	10
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-16	9
-8	8
-8	8
-8	8
-10	10
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-10	10
-8	8
-11	10
-9	9
-8	8
-11	11
-8	8
-8	8
-8	8
-8	8
-9	9
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
-8	8
14	10
-8	8
-8	8
-18	11
-11	10
-8	8
-8	8
-13	13
-17	17
-19	19
-8	8
-9	9
-8	8
-8	8
-9	9
-10	10
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-16	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-17	14
-9	9
-8	8
-9	9
-8	8
-11	10
-11	10
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-10	10
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-9	9
-9	9
-10	10
-8	8
-10	10
-9	9
-10	10
-10	10
-8	8
-8	8
-10	10
-8	8
-8	8
-18	16
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-9	9
-10	10
-8	8
-25	11
-9	9
-8	8
-8	8
-9	9
-9	9
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-16	9
-11	10
-8	8
-8	8
-8	8
-10	10
-8	8
-12	12
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	11
14	10
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-8	8
-10	10
-8	8
-10	10
-8	8
-8	8
-8	8
-11	10
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-11	11
-8	8
-8	8
-8	8
-9	9
-8	8
-8	8
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-10	10
-8	8
-8	8
-8	8
-8	8
-9	9
-8	8
-9	9
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-8	8
-11	10
-8	8
-8	8
-8	8
-8	8
-8	8
13	11
-8	8
-8	8
13	11
-8	8
-8	8
-13	12
-8	8
-8	8
-8	8
-18	16
-37	35
-8	8
-10	10
13	11
-13	13
-8	8
-8	8
-8	8
-54	53
-21	21
-9	9
-9	9
-15	15
-9	9
-13	13
-9	9
-15	15
-94	94
-84	84
-207	225
-39	33
-43	37
-16	10
-14	8
-14	8
-42	36
-14	8
-12	12
-14	14
-14	14
-14	8
-28	14
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-14	8
-16	10
-8	8
