epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
1,0.5679,0.5482,0.5417,0.725035360678925,0.7244,0.7259867025038902,0.7257,0.730642052587838,0.7304,MLP520-Tanh-Adagrad-0.01-0
2,0.5434,0.543,0.5354,0.7346534653465346,0.7344,0.7281086433724714,0.728,0.7337364949693208,0.7337,MLP520-Tanh-Adagrad-0.01-0
3,0.5383,0.5396,0.5314,0.7347949080622348,0.7339,0.7309378978639128,0.7305,0.7370077626297455,0.7366,MLP520-Tanh-Adagrad-0.01-0
4,0.5339,0.5395,0.5307,0.7347949080622348,0.7323,0.7302305842410525,0.7285,0.7392003960886249,0.7377,MLP520-Tanh-Adagrad-0.01-0
5,0.5301,0.5341,0.525,0.7367751060820368,0.7356,0.7344744659782148,0.7339,0.7394125864233551,0.7388,MLP520-Tanh-Adagrad-0.01-0
6,0.5276,0.5331,0.5234,0.7386138613861386,0.7374,0.7347573914273589,0.7341,0.740632680848054,0.74,MLP520-Tanh-Adagrad-0.01-0
7,0.5262,0.5354,0.5254,0.7407355021216407,0.7377,0.729240345169048,0.7269,0.741286934380139,0.7392,MLP520-Tanh-Adagrad-0.01-0
8,0.524,0.5315,0.5215,0.7418670438472419,0.7399,0.7347573914273589,0.7334,0.7421887433027425,0.741,MLP520-Tanh-Adagrad-0.01-0
9,0.523,0.528,0.5183,0.7424328147100424,0.7413,0.7357476304993634,0.7351,0.7434795678390183,0.7429,MLP520-Tanh-Adagrad-0.01-0
10,0.5217,0.5268,0.5173,0.7446958981612447,0.7439,0.7351817796010751,0.7348,0.7439039485084787,0.7436,MLP520-Tanh-Adagrad-0.01-0
11,0.519,0.5293,0.5202,0.7407355021216407,0.7407,0.7347573914273589,0.7347,0.7407741410712075,0.7408,MLP520-Tanh-Adagrad-0.01-0
12,0.5187,0.5258,0.5167,0.7428571428571429,0.7427,0.7360305559485075,0.736,0.7430375046416636,0.743,MLP520-Tanh-Adagrad-0.01-0
13,0.5182,0.5236,0.5141,0.7465346534653465,0.7455,0.7364549441222238,0.7358,0.7462910897741941,0.7458,MLP520-Tanh-Adagrad-0.01-0
14,0.5168,0.5248,0.5149,0.7472418670438472,0.7453,0.7364549441222238,0.7349,0.7469983908899617,0.7457,MLP520-Tanh-Adagrad-0.01-0
15,0.5159,0.522,0.5127,0.749080622347949,0.7483,0.7375866459188004,0.7371,0.7467862005552314,0.7464,MLP520-Tanh-Adagrad-0.01-0
16,0.5151,0.5219,0.5128,0.7473833097595474,0.747,0.7394256613382374,0.7393,0.7463441373578766,0.7462,MLP520-Tanh-Adagrad-0.01-0
17,0.5145,0.5215,0.5122,0.7495049504950495,0.7491,0.7395671240628094,0.7394,0.7469630258341733,0.7468,MLP520-Tanh-Adagrad-0.01-0
18,0.514,0.5244,0.5144,0.7486562942008487,0.746,0.7390012731645211,0.7369,0.7472813113362686,0.7455,MLP520-Tanh-Adagrad-0.01-0
19,0.5139,0.5202,0.5108,0.7495049504950495,0.7484,0.7401329749610978,0.7394,0.7480947076194012,0.7475,MLP520-Tanh-Adagrad-0.01-0
20,0.5136,0.5197,0.5106,0.7534653465346535,0.7526,0.740557363134814,0.74,0.7482184853146606,0.7477,MLP520-Tanh-Adagrad-0.01-0
21,0.5138,0.5201,0.5114,0.7493635077793493,0.7491,0.7384354222662328,0.7383,0.7472989938641629,0.7472,MLP520-Tanh-Adagrad-0.01-0
22,0.5132,0.5198,0.5106,0.7534653465346535,0.752,0.740557363134814,0.7395,0.7493678496277828,0.7484,MLP520-Tanh-Adagrad-0.01-0
23,0.5122,0.5243,0.5144,0.7465346534653465,0.7434,0.7381524968170887,0.7356,0.7478294697009884,0.7456,MLP520-Tanh-Adagrad-0.01-0
24,0.5131,0.5193,0.51,0.753041018387553,0.7518,0.7409817513085302,0.7401,0.7489434689583223,0.7482,MLP520-Tanh-Adagrad-0.01-0
25,0.512,0.5225,0.5145,0.745968882602546,0.746,0.7373037204696562,0.7373,0.7460435343836755,0.746,MLP520-Tanh-Adagrad-0.01-0
26,0.5116,0.519,0.5106,0.7487977369165488,0.7486,0.7399915122365257,0.7399,0.7485190882888618,0.7485,MLP520-Tanh-Adagrad-0.01-0
27,0.5131,0.5181,0.5093,0.7516265912305516,0.7507,0.7416890649313905,0.7411,0.7492794369883119,0.7488,MLP520-Tanh-Adagrad-0.01-0
28,0.5124,0.5191,0.5098,0.7544554455445545,0.7531,0.7421134531051068,0.7411,0.7495446749067247,0.7487,MLP520-Tanh-Adagrad-0.01-0
29,0.5122,0.5201,0.5106,0.7516265912305516,0.7498,0.7406988258593861,0.7393,0.7487489611514863,0.7476,MLP520-Tanh-Adagrad-0.01-0
30,0.5101,0.5202,0.5117,0.7504950495049505,0.7504,0.7401329749610978,0.7401,0.7481300726751896,0.7481,MLP520-Tanh-Adagrad-0.01-0
31,0.5115,0.5195,0.511,0.7516265912305516,0.7514,0.7414061394822464,0.7414,0.748165437730978,0.7481,MLP520-Tanh-Adagrad-0.01-0
32,0.5119,0.5183,0.5092,0.7531824611032532,0.7521,0.7422549158296788,0.7415,0.7498452778809258,0.7492,MLP520-Tanh-Adagrad-0.01-0
33,0.5119,0.519,0.5097,0.7538896746817539,0.7523,0.7395671240628094,0.7383,0.7498452778809258,0.7488,MLP520-Tanh-Adagrad-0.01-0
34,0.5118,0.5176,0.5089,0.7517680339462518,0.7511,0.7416890649313905,0.7412,0.749580039962513,0.7492,MLP520-Tanh-Adagrad-0.01-0
35,0.5112,0.5185,0.5093,0.7537482319660538,0.7523,0.7406988258593861,0.7396,0.749580039962513,0.7487,MLP520-Tanh-Adagrad-0.01-0
36,0.5116,0.5219,0.514,0.745968882602546,0.746,0.7378695713679445,0.7378,0.7462380421905116,0.7462,MLP520-Tanh-Adagrad-0.01-0
37,0.5114,0.5179,0.509,0.7524752475247525,0.7516,0.7414061394822464,0.7409,0.749580039962513,0.7491,MLP520-Tanh-Adagrad-0.01-0
38,0.5117,0.5183,0.5098,0.7504950495049505,0.7502,0.7399915122365257,0.7398,0.7492087068767351,0.7491,MLP520-Tanh-Adagrad-0.01-0
39,0.5113,0.518,0.509,0.7524752475247525,0.7514,0.7431036921771114,0.7423,0.7498806429367142,0.7493,MLP520-Tanh-Adagrad-0.01-0
40,0.5104,0.5181,0.5091,0.7527581329561528,0.7516,0.742537841278823,0.7417,0.7493148020441002,0.7487,MLP520-Tanh-Adagrad-0.01-0
41,0.5113,0.518,0.5096,0.7503536067892503,0.75,0.7402744376856698,0.7401,0.7494385797393596,0.7493,MLP520-Tanh-Adagrad-0.01-0
42,0.5108,0.5187,0.5104,0.75007072135785,0.7499,0.7397085867873815,0.7396,0.7489257864304281,0.7489,MLP520-Tanh-Adagrad-0.01-0
43,0.5109,0.5191,0.5098,0.7513437057991513,0.7495,0.7398500495119535,0.7384,0.7497568652414549,0.7486,MLP520-Tanh-Adagrad-0.01-0
44,0.5113,0.5191,0.511,0.751060820367751,0.7509,0.7388598104399491,0.7388,0.7483068979541315,0.7483,MLP520-Tanh-Adagrad-0.01-0
45,0.5105,0.5183,0.5093,0.7544554455445545,0.7529,0.7416890649313905,0.7404,0.7496861351298781,0.7487,MLP520-Tanh-Adagrad-0.01-0
46,0.5109,0.5183,0.51,0.7506364922206507,0.7504,0.740557363134814,0.7405,0.7495093098509363,0.7495,MLP520-Tanh-Adagrad-0.01-0
47,0.5108,0.5176,0.5088,0.750919377652051,0.7501,0.7429622294525392,0.7424,0.7498629604088201,0.7494,MLP520-Tanh-Adagrad-0.01-0
48,0.5102,0.5184,0.5102,0.751060820367751,0.7508,0.7416890649313905,0.7416,0.7491910243488409,0.7491,MLP520-Tanh-Adagrad-0.01-0
49,0.5111,0.5198,0.5119,0.7487977369165488,0.7488,0.7381524968170887,0.7382,0.7475642317825756,0.7476,MLP520-Tanh-Adagrad-0.01-0
50,0.5112,0.5181,0.5099,0.751060820367751,0.7508,0.7399915122365257,0.7399,0.7492263894046293,0.7491,MLP520-Tanh-Adagrad-0.01-0
51,0.5103,0.5173,0.5088,0.7504950495049505,0.75,0.7414061394822464,0.741,0.7501281983272329,0.7499,MLP520-Tanh-Adagrad-0.01-0
52,0.5103,0.5175,0.5086,0.7534653465346535,0.7524,0.742396378554251,0.7416,0.7498452778809258,0.7493,MLP520-Tanh-Adagrad-0.01-0
53,0.5109,0.5177,0.5088,0.753041018387553,0.7519,0.7418305276559627,0.7409,0.7496861351298781,0.7489,MLP520-Tanh-Adagrad-0.01-0
54,0.5103,0.5216,0.5137,0.746958981612447,0.747,0.7377281086433725,0.7377,0.7461319470231464,0.7461,MLP520-Tanh-Adagrad-0.01-0
55,0.5095,0.518,0.509,0.7531824611032532,0.7518,0.7414061394822464,0.7403,0.7497922302972433,0.7489,MLP520-Tanh-Adagrad-0.01-0
56,0.5105,0.5174,0.5089,0.7502121640735502,0.7497,0.7412646767576744,0.741,0.750234293494598,0.75,MLP520-Tanh-Adagrad-0.01-0
57,0.5091,0.5176,0.5087,0.7537482319660538,0.7526,0.7414061394822464,0.7404,0.7498099128251375,0.7491,MLP520-Tanh-Adagrad-0.01-0
58,0.5104,0.5184,0.5094,0.7526166902404526,0.7509,0.7414061394822464,0.74,0.7497038176577724,0.7486,MLP520-Tanh-Adagrad-0.01-0
59,0.5102,0.517,0.5084,0.7514851485148515,0.7507,0.742396378554251,0.7419,0.7504641663572225,0.7501,MLP520-Tanh-Adagrad-0.01-0
60,0.5107,0.518,0.5091,0.7533239038189533,0.7517,0.7409817513085302,0.7397,0.7497391827135608,0.7487,MLP520-Tanh-Adagrad-0.01-0
61,0.5095,0.5171,0.5087,0.750919377652051,0.7504,0.7416890649313905,0.7414,0.7501281983272329,0.7499,MLP520-Tanh-Adagrad-0.01-0
62,0.5096,0.5206,0.5129,0.7478076379066478,0.7478,0.7384354222662328,0.7384,0.7464855975810302,0.7465,MLP520-Tanh-Adagrad-0.01-0
63,0.5102,0.5186,0.5095,0.752050919377652,0.7501,0.7404159004102419,0.7389,0.7502696585503864,0.7491,MLP520-Tanh-Adagrad-0.01-0
64,0.51,0.5178,0.5088,0.7534653465346535,0.7522,0.7418305276559627,0.7408,0.7499160079925026,0.7491,MLP520-Tanh-Adagrad-0.01-0
65,0.5105,0.5172,0.5088,0.7512022630834512,0.7507,0.7422549158296788,0.7419,0.7503757537177514,0.7501,MLP520-Tanh-Adagrad-0.01-0
66,0.5107,0.5174,0.5085,0.7524752475247525,0.7513,0.7418305276559627,0.7409,0.7496330875461956,0.7489,MLP520-Tanh-Adagrad-0.01-0
67,0.5105,0.5172,0.5086,0.7514851485148515,0.7507,0.7429622294525392,0.7424,0.7500044206319736,0.7495,MLP520-Tanh-Adagrad-0.01-0
68,0.5105,0.5175,0.5092,0.7517680339462518,0.7514,0.7411232140331023,0.7409,0.7497391827135608,0.7496,MLP520-Tanh-Adagrad-0.01-0
69,0.5091,0.5171,0.5087,0.751909476661952,0.7514,0.7414061394822464,0.7411,0.7500928332714445,0.7499,MLP520-Tanh-Adagrad-0.01-0
70,0.5098,0.5175,0.5086,0.7543140028288543,0.7531,0.7422549158296788,0.7412,0.7497568652414549,0.749,MLP520-Tanh-Adagrad-0.01-0
71,0.5098,0.5169,0.5083,0.7527581329561528,0.7518,0.7431036921771114,0.7425,0.7498099128251375,0.7493,MLP520-Tanh-Adagrad-0.01-0
72,0.5107,0.5167,0.5083,0.7517680339462518,0.751,0.7422549158296788,0.7417,0.7500574682156561,0.7496,MLP520-Tanh-Adagrad-0.01-0
73,0.5097,0.5169,0.5083,0.7527581329561528,0.7518,0.7435280803508275,0.7428,0.7500574682156561,0.7495,MLP520-Tanh-Adagrad-0.01-0
74,0.5083,0.5169,0.5083,0.7516265912305516,0.7509,0.7429622294525392,0.7425,0.7500574682156561,0.7497,MLP520-Tanh-Adagrad-0.01-0
75,0.5102,0.5171,0.5086,0.750919377652051,0.7504,0.7415476022068185,0.7412,0.7504288013014341,0.7502,MLP520-Tanh-Adagrad-0.01-0
76,0.5102,0.5169,0.5084,0.7516265912305516,0.751,0.7428207667279672,0.7424,0.7501105157993386,0.7498,MLP520-Tanh-Adagrad-0.01-0
77,0.5099,0.5179,0.5098,0.7521923620933522,0.752,0.7394256613382374,0.7393,0.7494562622672537,0.7494,MLP520-Tanh-Adagrad-0.01-0
78,0.5105,0.5184,0.5093,0.751909476661952,0.7499,0.7404159004102419,0.7389,0.7501105157993386,0.7489,MLP520-Tanh-Adagrad-0.01-0
79,0.5092,0.5168,0.5085,0.7506364922206507,0.7501,0.7412646767576744,0.7409,0.7504288013014341,0.7502,MLP520-Tanh-Adagrad-0.01-0
80,0.5103,0.5167,0.5082,0.752050919377652,0.7512,0.7426793040033951,0.7421,0.7500221031598677,0.7496,MLP520-Tanh-Adagrad-0.01-0
81,0.5106,0.5176,0.5095,0.7517680339462518,0.7515,0.7402744376856698,0.7401,0.7495093098509363,0.7494,MLP520-Tanh-Adagrad-0.01-0
82,0.5105,0.5184,0.5094,0.7506364922206507,0.7486,0.7401329749610978,0.7385,0.7502166109667038,0.749,MLP520-Tanh-Adagrad-0.01-0
83,0.5092,0.5169,0.5085,0.752899575671853,0.7524,0.7418305276559627,0.7415,0.7501105157993386,0.7498,MLP520-Tanh-Adagrad-0.01-0
84,0.5096,0.5174,0.5085,0.7538896746817539,0.7526,0.7419719903805347,0.741,0.750039785687762,0.7492,MLP520-Tanh-Adagrad-0.01-0
85,0.5091,0.5169,0.5085,0.752899575671853,0.7523,0.742396378554251,0.742,0.7503227061340689,0.75,MLP520-Tanh-Adagrad-0.01-0
86,0.5101,0.5169,0.5082,0.7524752475247525,0.7516,0.7429622294525392,0.7424,0.7500221031598677,0.7496,MLP520-Tanh-Adagrad-0.01-0
87,0.5094,0.5169,0.5082,0.7523338048090523,0.7515,0.7426793040033951,0.7421,0.7496861351298781,0.7492,MLP520-Tanh-Adagrad-0.01-0
88,0.5099,0.5171,0.5083,0.753041018387553,0.752,0.742537841278823,0.7417,0.7498983254646084,0.7492,MLP520-Tanh-Adagrad-0.01-0
89,0.5094,0.5187,0.5095,0.7513437057991513,0.7493,0.7395671240628094,0.7379,0.7504995314130108,0.7492,MLP520-Tanh-Adagrad-0.01-0
90,0.5092,0.5175,0.5086,0.7537482319660538,0.7523,0.7416890649313905,0.7406,0.7498629604088201,0.749,MLP520-Tanh-Adagrad-0.01-0
91,0.5096,0.5168,0.5083,0.7526166902404526,0.752,0.7415476022068185,0.7411,0.7500574682156561,0.7498,MLP520-Tanh-Adagrad-0.01-0
92,0.5092,0.5168,0.5084,0.752050919377652,0.7515,0.7416890649313905,0.7413,0.7502696585503864,0.75,MLP520-Tanh-Adagrad-0.01-0
93,0.5104,0.5169,0.5082,0.7527581329561528,0.7518,0.742396378554251,0.7417,0.7503403886619631,0.7498,MLP520-Tanh-Adagrad-0.01-0
94,0.5098,0.5173,0.509,0.7524752475247525,0.7522,0.7416890649313905,0.7415,0.7493501670998886,0.7492,MLP520-Tanh-Adagrad-0.01-0
95,0.5097,0.5167,0.5081,0.752050919377652,0.7513,0.7421134531051068,0.7416,0.7501281983272329,0.7497,MLP520-Tanh-Adagrad-0.01-0
96,0.5092,0.5168,0.5081,0.7521923620933522,0.7514,0.7416890649313905,0.7412,0.7500221031598677,0.7496,MLP520-Tanh-Adagrad-0.01-0
97,0.5093,0.5169,0.5082,0.753041018387553,0.752,0.7416890649313905,0.7409,0.7501989284388096,0.7496,MLP520-Tanh-Adagrad-0.01-0
98,0.51,0.5166,0.5081,0.7524752475247525,0.7517,0.742537841278823,0.742,0.7502696585503864,0.7498,MLP520-Tanh-Adagrad-0.01-0
99,0.5089,0.5166,0.5081,0.7521923620933522,0.7515,0.7428207667279672,0.7423,0.7502873410782805,0.7499,MLP520-Tanh-Adagrad-0.01-0
100,0.5095,0.5183,0.5103,0.7506364922206507,0.7505,0.7388598104399491,0.7388,0.7491379767651584,0.7491,MLP520-Tanh-Adagrad-0.01-0
